S_DT,S_HJ,SN_HJ,S_CARE,S_RECOVER,SN_RECOVER,S_DEATH,SY_TOTAL,SY_KJ,SY_KH,T_DT,T_HJ,N_HJ,TY_CARE,RECOVER,DEATH,TY_TOTAL,TY_KJ,TY_KH,JGK_OVERSEAS_GS,JGK_OVERSEAS_GH,JGK_CONT_GS,JGK_CONT_GH,CHECKING,DAY_DEATH,ALL_DAY_DEATH
2023.05.31.00,6204277,5987,0,,,6492,,,,2023.05.31.00,31703511,24411,0,,34784,,,,,,,,0,6,17
2023.05.30.00,6198290,3326,0,,,6486,,,,2023.05.30.00,31679100,13529,0,,34767,,,,,,,,0,1,7
2023.05.29.00,6194964,1393,0,,,6485,,,,2023.05.29.00,31665571,6868,0,,34760,,,,,,,,0,1,3
2023.05.28.00,6194964,1393,0,,,6485,,,,2023.05.28.00,31665571,6868,0,,34760,,,,,,,,0,1,3
2023.05.27.00,6191196,4078,0,,,6485,,,,2023.05.27.00,31647238,17796,0,,34784,,,,,,,,0,0,3
2023.05.26.00,6187279,4217,0,,,6483,,,,2023.05.26.00,31629442,17933,0,,34781,,,,,,,,0,2,15
2023.05.25.00,6183062,4435,0,,,6481,,,,2023.05.25.00,31611509,19080,0,,34736,,,,,,,,0,2,17
2023.05.24.00,6178627,5312,0,,,6479,,,,2023.05.24.00,31592429,22961,0,,34719,,,,,,,,0,2,17
2023.05.23.00,6173315,5362,0,,,6477,,,,2023.05.23.00,31569468,21385,0,,34702,,,,,,,,0,1,15
2023.05.22.00,6167953,1271,0,,,6476,,,,2023.05.22.00,31548083,6798,0,,34687,,,,,,,,0,6,12
