S_VC_DT,FIR_SUB,FIR_INC1,FIR_INC,FIR_INC_RATE,SCD_INC1,SCD_INC,SCD_INC_RATE,ADD_INC1,ADD_INC,ADD_INC_RATE,ADD_SUB,FOUR_INC1,FOUR_INC,FOUR_INC_RATE,WINTER_INC1,WINTER_INC,WINTER_INC_RATE
(2023.08.20.~08.26.),9445165.0,8.0,8365380.0,88.6,12.0,8290219.0,87.8,0.0,0.0,,9445165.0,0.0,0.0,,111.0,1249891.0,13.2
(2023.08.13.~08.19.),9445879.0,7.0,8366009.0,88.6,8.0,8290843.0,87.8,0.0,0.0,,9445879.0,0.0,0.0,,81.0,1249756.0,13.2
(2023.08.06.~08.12.),9445879.0,6.0,8366744.0,88.6,9.0,8291579.0,87.8,0.0,0.0,,9445879.0,0.0,0.0,,76.0,1249602.0,13.2
(2023.07.30.~08.05.),9446658.0,18.0,8367637.0,88.6,21.0,8292458.0,87.8,0.0,0.0,,9446658.0,0.0,0.0,,147.0,1249289.0,13.2
(2023.07.23.~07.29.),9449271.0,1.0,8370423.0,88.6,15.0,8295203.0,87.8,0.0,0.0,,9449271.0,0.0,0.0,,146.0,1249766.0,13.2
(2023.07.16.~07.22.),9449671.0,2.0,8371046.0,88.6,7.0,8295809.0,87.8,0.0,0.0,,9449671.0,0.0,0.0,,110.0,1249513.0,13.2
(2023.07.09.~07.15.),9449862.0,19.0,8371615.0,88.6,29.0,8296356.0,87.8,0.0,0.0,,9449862.0,0.0,0.0,,244.0,1249390.0,13.2
(2023.07.02.~07.08.),9450189.0,27.0,8372308.0,88.6,17.0,8297031.0,87.8,0.0,0.0,,9450189.0,0.0,0.0,,250.0,1249327.0,13.2
(2023.06.25.~07.01.),9451053.0,25.0,8373419.0,88.6,37.0,8298134.0,87.8,0.0,0.0,,9451053.0,0.0,0.0,,381.0,1249411.0,13.2
(2023.06.18.~06.24.),9452767.0,26.0,8375852.0,88.6,31.0,8300522.0,87.8,0.0,0.0,,9452767.0,0.0,0.0,,450.0,1249516.0,13.2
